ID_Couple	e1	e2	Expert	Catégories	CombMNZ	Empirique	Régression logistique	Régression par arbres 	Regression Par Clustering						
1	8	9	0	1	0,1391111111	0,1425	0,2441097781	0,0882352941	0,333775406						
2	22	6	0	1	0,0148467226	0,2008868445	0,3827243705	0,0882352941	0,4721892271						
3	22	21	0	1	0,2079207921	0,3	0,182373431	0,0882352941	0,1790813382						
4	25	23	0	1	0,801980198	0,75	0,6172008535	0,0882352941	0,8345272356						
5	50	51	0	1	0,3069306931	0,425	0,5056848102	0,0882352941	0,8273498424						
6	49	51	0	1	0,2351111111	0,2116071429	0,2154035443	0,0882352941	0,2505713878						
7	58	59	0	1	0,603960396	0,65	0,709619742	0,0882352941	0,8817118168						
8	60	62	0	1	0,5459617388	0,5767766953	0,5176386338	0,0882352941	0,7974163337						
9	23	75	0	1	0,6463789232	0,6735533906	0,887400134	0,7727272727	0,8795203202						
10	5	8	0	2	0,3425170024	0,35566326	0,7758541421	0,0882352941	0,7233089052						
11	26	22	0	2	0,1428571429	0,1142857143	0,2015799078	0,0882352941	0,2571222127						
12	30	36	0	2	0,3571428571	0,2857142857	0,1572878396	0,0882352941	0,3482805791						
13	43	45	0	2	0,4821428571	0,3857142857	0,135313544	0,0882352941	0,4623585833						
14	52	55	0	2	0	0	0,2247050536	0,0882352941	0						
15	64	58	0	2	0	0	0,2247050536	0,0882352941	0						
16	102	168	0	2	0,75	0,7	0,8210455053	0,7727272727	0,676662892						
17	38	120	0	3	0,4821428571	0,3857142857	0,0659751963	0,0882352941	0,3480957848						
18	105	107	0	3	0,75	0,7	0,5335351034	0,0882352941	0,8577638455						
19	44	43	0	3	0,7321428571	0,6857142857	0,5397949039	0,0882352941	0,8935968434						
20	106	107	0	3	0,5	0,4	0,0644407038	0,0882352941	0,2442338882						
21	71	78	0	3	0,25	0,2	0,0892399797	0,0882352941	0,3896265056						
22	106	136	0	3	0,5	0,4	0,0644407038	0,0882352941	0,1848624524						
23	91	115	0	3	0	0	0,1223350263	0,0882352941	0,0069551298						
24	114	120	0	3	0,4821428571	0,3857142857	0,0659751963	0,0882352941	0,4876677216						
25	98	166	0	3	0,865	0,838178046	0,7914258742	0,8888888888	0,9666079348						
26	41	33	0	4	0	0	0,0821486831	0,0882352941	0						
27	47	55	0	4	0	0	0,0821486831	0,0882352941	0						
28	55	100	0	4	0	0	0,0821486831	0,0882352941	0						
29	147	164	0	4	0	0	0,0821486831	0,0882352941	0						
30	158	161	0	4	0	0	0,0821486831	0,0882352941	0						
31	153	155	0	4	0	0	0,0591919628	0,0882352941	0						
32	114	117	0	4	0,5	0,5	0,5977831149	0,0882352941	0,3458453979						
33	91	169	0	4	0,666666666	0,6666666666	0,8754622932	0,8888888888	0,6356621755					Precision	77,27
34	11	16	0	5	0	0	0,038830065	0,0882352941	0					Rappel	83,6
35	27	25	0	5	0	0	0,038830065	0,0882352941	0					F-Mesure	80,31
36	6	27	0	5	0	0	0,038830065	0,0882352941	0						
37	11	32	0	5	0	0	0,038830065	0,0882352941	0						
38	145	111	0	5	0	0	0,038830065	0,0882352941	0					seuil 	0,6
39	42	44	0	5	0	0	0,038830065	0,0882352941	0						
40	42	43	0	5	0	0	0,038830065	0,0882352941	0						
41	110	111	0	5	0,6773502692	0,6773502692	0,5088623731	0,7727272727	0,6779197872						
42	116	117	0	5	0,5	0,5	0,4015008961	0,0882352941	0,5542804513						
43	166	167	0	5	0,666666666	0,666666666	0,7896541231	0,7727272727	0,8024816489						
44	88	86	1	5	1	1	0,9176264411	0,9166666667	0,8223921506						
45	94	95	1	1	0,7656428873	0,7041241452	0,7905228768	0,0882352941	0,8757587517						
46	127	129	1	1	0,7284156983	0,7606962477	0,8754622932	0,7727272727	0,9283826757						
47	134	135	1	1	0,6564180325	0,666227766	0,8284191045	0,7727272727	0,9528449018						
48	6	7	1	1	0,9858557284	0,9892857143	0,9648585488	1	0,9601065661						
49	7	8	1	1	0,9363507779	0,9642857143	0,9682181976	1	0,9573301198						
50	6	8	1	1	0,9504950495	0,975	0,9674343239	1	0,9957273552						
51	9	10	1	1	0,9669966997	0,975	0,9659790842	1	0,9973087121						
52	17	16	1	1	0,8833097595	0,9116071429	0,9705485486	1	0,9760742734						
53	19	21	1	1	0,9603960396	0,95	0,9385133492	1	0,9941874314						
54	22	23	1	1	0,8869047558	0,9428869017	0,9713889029	1	0,9939535775						
55	36	37	1	1	0,9273253786	0,9082482905	0,9051866553	1	0,9893081027						
56	63	65	1	1	0,9876787679	0,9844444444	0,9574093738	1	1						
57	73	74	1	1	1	1	0,9639948934	1	1						
58	83	84	1	1	0,9669966997	0,975	0,9659790842	1	0,9973749375						
59	93	95	1	2	0,6785714286	0,6428571429	0,7370115694	0,0882352941	0,7260456102						
60	16	18	1	2	0,8526785714	0,8821428571	0,9810575942	1	0,6987116781						
61	29	21	1	2	1	1	0,9767865216	1	0,8131549038						
62	34	35	1	2	0,8535533906	0,8096194078	0,870277143	0,7727272727	0,7300588928						
63	40	41	1	2	1	1	0,9720589541	1	0,719806672						
64	47	45	1	2	1	1	0,9767865216	1	0,8616609274						
65	48	49	1	2	1	1	0,9767865216	1	0,7994072985						
66	52	53	1	2	0,7	0,76	0,9846696783	1	0,6903215275						
67	56	57	1	2	1	1	0,9767865216	1	0,8396533251						
68	63	64	1	2	1	1	0,9720589541	1	0,7852787263						
69	65	64	1	2	0,9844444444	0,9797777778	0,9668977447	1	0,7852787263						
70	45	46	1	2	1	1	0,9720589541	1	0,7217684482						
71	66	67	1	2	1	1	0,9767865216	1	0,7201511133						
72	23	24	1	2	1	1	0,9767865216	1	0,9309276496						
73	79	80	1	2	0,9330127019	0,9196152423	0,951968147	1	0,6658811293						
74	81	82	1	2	1	1	0,9720589541	1	0,6716409463						
75	96	98	1	3	0,3857583749	0,4629100499	0,7521452875	0,0882352941	0,9545678483						
76	1	2	1	3	0,8429867754	0,8187269876	0,8030216546	0,7727272727	0,934881416						
77	3	4	1	3	1	1	0,9499830998	1	1						
78	3	5	1	3	0,6428571429	0,7142857143	0,9691589327	1	0,8974551346						
79	4	5	1	3	0,6428571429	0,7142857143	0,9691589327	1	0,8974551346						
80	13	14	1	3	1	1	0,9499830998	1	1						
81	30	31	1	3	0,9166666667	0,9333333333	0,9552792523	1	0,9957375177						
82	32	33	1	3	0,6916666667	0,7533333333	0,9670344179	1	0,8881177982						
83	38	39	1	3	0,8967431114	0,8760917336	0,8561386968	1	0,983870734						
84	122	123	1	3	0,5872983346	0,6247580015	0,8909393028	1	0,9440657867						
85	71	72	1	3	0,8535533906	0,8242640687	0,7855276761	0,7727272727	0,9392726504						
86	76	77	1	3	1	1	0,9499830998	1	1						
87	76	78	1	3	1	1	0,9499830998	1	1						
88	77	78	1	3	1	1	0,9499830998	1	1						
89	86	87	1	3	1	1	0,9499830998	1	1						
90	46	47	1	4	1	1	0,9610586096	1	0,423542234						
91	54	55	1	4	1	1	0,9610586096	1	0,3864245897						
92	155	156	1	4	1	1	0,9610586096	1	0,5813567449						
93	147	148	1	4	1	1	0,9610586096	1	0,3565735565						
94	150	151	1	4	1	1	0,9610586096	1	0,4123901646						
95	152	153	1	4	1	1	0,9610586096	1	0,507001395						
96	87	88	1	5	1	1	0,9176264411	0,9166666667	0,8223921506						
97	11	12	1	5	1	1	0,9176264411	0,9166666667	0,4878586781						
98	27	26	1	5	1	1	0,9176264411	0,9166666667	0,5913023303						
99	68	69	1	5	1	1	0,9176264411	0,9166666667	0,7080049961						
100	160	162	1	5	1	1	0,9176264411	0,9166666667	0,7317084371						
101	114	116	1	5	1	1	0,9176264411	0,9166666667	0,6239538074						
102	146	145	1	5	1	1	0,9176264411	0,9166666667	0,7626712952						
103	144	146	1	5	0,8164965809	0,8164965809	0,7988836419	0,9166666667	0,7566043404						
104	15	16	1	5	1	1	0,9176264411	0,9166666667	0,5758685333						
